    0.0s  Demo started
    0.1s  Mac volume set to 65%
    0.1s  iPhone detected via USB
    0.1s  Launching VoiceAgent app on iPhone...
    0.3s  App launched on iPhone
    0.3s  Waiting 10s for START tap...
   10.3s  START tap window elapsed
   10.3s  Waiting for session init...
   13.3s  Starting conversation (3 turns)
   13.3s  SAY [Turn 1/3]: "Ellen, walk me through yesterday's transaction anomalies"
   14.1s  SESSION created: s-f2f9cd23-e1e3-4dad-8653-9da4b7fa1dd1
   14.1s  WEBSOCKET connected
   14.6s  GEMINI session started
   16.6s  GEMINI heard: "Lo"
   16.7s  GEMINI heard: "Lock"
   16.9s  GEMINI heard: "Lock me"
   17.0s  SAY done (3694ms)
   17.1s  GEMINI heard: "Lock me through"
   17.2s  GEMINI heard: "Lock me through ye"
   17.4s  GEMINI heard: "Lock me through yesterday"
   18.8s  MODERATOR audio enqueued: 46080 bytes (1.4s)
   18.8s  AGENT dispatched: eva — "Walk through yesterday's transaction anomalies."
   19.8s  MODERATOR audio enqueued: 42240 bytes (1.3s)
   20.8s  GEMINI turn complete (listening)
   22.2s  SAY [Turn 2/3]: "hold on, just the top 3 by dollar amount, skip the details"
   26.9s  SAY done (4663ms)
   32.0s  SAY [Turn 3/3]: "flag the wire reversal and send me a one-liner on it"
   35.4s  SAY done (3328ms)
   40.5s  Conversation done, waiting 15s for trailing responses...
   55.7s  Demo complete
