    0.0s  Demo started
    0.1s  Mac volume set to 30%
    0.2s  iPhone detected via USB
    0.2s  Launching VoiceAgent app on iPhone...
    1.0s  App launched on iPhone
    1.0s  Waiting 10s for START tap...
   11.0s  START tap window elapsed
   11.0s  Waiting for session init...
   14.0s  Beep countdown (3 beeps, 2s apart)
   16.2s  SESSION created: s-166eb59d-e5a7-4b52-830c-c482d0d9832a
   16.3s  WEBSOCKET connected
   16.6s  GEMINI session started
   24.2s  Beep countdown done, starting conversation
   24.2s  Starting conversation (5 turns)
   24.2s  SAY [Turn 1/5]: "Hello, there"
   25.7s  SAY done (1532ms)
   26.3s  GEMINI heard: "He"
   26.4s  GEMINI heard: "Hello"
   26.5s  GEMINI heard: "Hello there."
   27.6s  MODERATOR audio enqueued: 46080 bytes (1.4s)
   31.8s  SAY [Turn 2/5]: "Can you help me check if I have time for a dinner at 6PM?"
   35.7s  SAY done (3864ms)
   43.9s  SAY [Turn 3/5]: "Ellen, walk me through yesterday's transaction anomalies"
   47.6s  SAY done (3734ms)
   61.9s  SAY [Turn 4/5]: "hold on, just the top 3 by dollar amount, skip the details"
   66.5s  SAY done (4622ms)
   78.7s  SAY [Turn 5/5]: "flag the wire reversal and send me a one-liner on it"
   82.0s  SAY done (3340ms)
   94.2s  Conversation done, waiting 15s for trailing responses...
  109.3s  Demo complete
