    0.0s  Demo started
    0.1s  Mac volume set to 65%
    0.2s  iPhone detected via USB
    0.2s  Launching VoiceAgent app on iPhone...
    0.3s  App launched on iPhone
    0.3s  Waiting 10s for START tap...
   10.3s  START tap window elapsed
   10.3s  Waiting for session init...
   13.4s  Starting conversation (3 turns)
   13.4s  SAY [Turn 1/3]: "Ellen, walk me through yesterday's transaction anomalies"
   15.7s  GEMINI heard: "E"
   15.9s  GEMINI heard: "Ellen"
   16.0s  GEMINI heard: "Ellen,"
   16.2s  GEMINI heard: "Ellen, walk"
   16.4s  GEMINI heard: "Ellen, walk me"
   16.5s  GEMINI heard: "Ellen, walk me through"
   16.7s  GEMINI heard: "Ellen, walk me through ye"
   16.9s  GEMINI heard: "Ellen, walk me through yester"
   17.0s  GEMINI heard: "Ellen, walk me through yesterday"
   17.1s  SAY done (3761ms)
   18.8s  MODERATOR audio enqueued: 46080 bytes (1.4s)
   18.8s  AGENT dispatched: eva — "Analyze and summarize yesterday's transaction anomalies."
   19.7s  MODERATOR audio enqueued: 32640 bytes (1.0s)
   20.4s  GEMINI turn complete (listening)
   31.4s  SAY [Turn 2/3]: "hold on, just the top 3 by dollar amount, skip the details"
   36.0s  SAY done (4647ms)
   48.2s  SAY [Turn 3/3]: "flag the wire reversal and send me a one-liner on it"
   51.5s  SAY done (3354ms)
   63.7s  Conversation done, waiting 15s for trailing responses...
   78.9s  Demo complete
