    0.0s  Demo started
    0.1s  Mac volume set to 30%
    0.1s  iPhone detected via USB
    0.1s  Launching VoiceAgent app on iPhone...
    0.3s  App launched on iPhone
    0.3s  Waiting 10s for START tap...
   10.3s  START tap window elapsed
   10.3s  Waiting for session init...
   13.4s  Beep countdown (3 beeps, 2s apart)
   22.6s  Beep countdown done, starting conversation
   22.6s  Starting conversation (5 turns)
   22.6s  SAY [Turn 1/5]: "Hello, there"
   24.1s  SAY done (1506ms)
   25.1s  SESSION created: s-3da06af8-f309-49ba-ac4d-891643855630
   25.2s  WEBSOCKET connected
   25.4s  GEMINI session started
   28.6s  GEMINI heard: "Hello there."
   29.6s  MODERATOR audio enqueued: 46080 bytes (1.4s)
   30.2s  SAY [Turn 2/5]: "Can you help me check if I have time for a dinner at 6PM?"
   34.0s  SAY done (3853ms)
   34.6s  GEMINI heard: "For"
   34.8s  GEMINI heard: "For a di"
   35.0s  GEMINI heard: "For a dinner"
   35.0s  GEMINI heard: "For a dinner at 6:00 p.m."
   35.9s  MODERATOR audio enqueued: 46080 bytes (1.4s)
   36.0s  AGENT dispatched: ellen — "Schedule a dinner reservation for today at 6pm."
   36.9s  MODERATOR audio enqueued: 46080 bytes (1.4s)
   42.2s  SAY [Turn 3/5]: "Ellen, walk me through yesterday's transaction anomalies"
   44.6s  GEMINI heard: "E"
   44.8s  GEMINI heard: "Ellen"
   45.0s  GEMINI heard: "Ellen,"
   45.1s  GEMINI heard: "Ellen, walk"
   45.2s  GEMINI heard: "Ellen, walk me"
   45.4s  GEMINI heard: "Ellen, walk me through"
   45.6s  GEMINI heard: "Ellen, walk me through ye"
   45.8s  GEMINI heard: "Ellen, walk me through yesterday"
   45.9s  SAY done (3705ms)
   47.5s  MODERATOR audio enqueued: 46080 bytes (1.4s)
   47.6s  AGENT dispatched: eva — "Analyze and explain yesterday's transaction anomalies."
   48.5s  MODERATOR audio enqueued: 46080 bytes (1.4s)
   60.2s  SAY [Turn 4/5]: "hold on, just the top 3 by dollar amount, skip the details"
   64.9s  SAY done (4649ms)
   71.9s  AGENT done: ellen (TTS 2.5s, audio 1.5s)
   71.9s  AGENT audio enqueued: ellen 48696 bytes (1.5s)
   77.0s  SAY [Turn 5/5]: "flag the wire reversal and send me a one-liner on it"
   79.2s  GEMINI heard: "Flag"
   79.5s  GEMINI heard: "Flag the"
   79.7s  GEMINI heard: "Flag the wire"
   79.9s  GEMINI heard: "Flag the wire re"
   80.0s  GEMINI heard: "Flag the wire revers"
   80.2s  GEMINI heard: "Flag the wire reversal"
   80.3s  SAY done (3349ms)
   80.4s  GEMINI heard: "Flag the wire reversal and"
   80.5s  GEMINI heard: "Flag the wire reversal and send"
   80.7s  GEMINI heard: "Flag the wire reversal and send me a"
   81.0s  GEMINI heard: "Flag the wire reversal and send me a one liner on it."
   82.0s  MODERATOR audio enqueued: 46080 bytes (1.4s)
   82.1s  AGENT dispatched: shijing — "Flag the wire reversal and send a one-line summary."
   83.0s  MODERATOR audio enqueued: 46080 bytes (1.4s)
   92.5s  Conversation done, waiting 15s for trailing responses...
  107.7s  Demo complete
